rule,selected_count,examples
identity,351539,aa->aa | aaa->aaa | aah->aah | aalborg->aalborg | aalii->aalii | aalst->aalst | aalto->aalto | aar->aar | aardvark->aardvark | aardwolf->aardwolf | aare->aare | aarhus->aarhus
eous_to_e,114,advantageous->advant | araceous->arace | beauteous->beaute | caseous->case | consanguineous->consanguine | corneous->corne | courageous->cour | courteous->courte | disadvantageous->disadvantage | gaseous->gase | gorgeous->gorge | heterogeneous->heterogene
sion_to_de,70,abrasion->abrade | allusion->allude | collision->collide | collusion->collude | conclusion->conclude | corrasion->corrade | corrosion->corrode | decision->decide | delusion->delude | derision->deride | disillusion->disillude | dissuasion->dissuade
ves_to_f,59,elves->elf | theirselves->theirself | ourselves->ourself | yourselves->yourself | leaves->leaf | calves->calf | pelves->pelf | halves->half | themselves->themself | selves->self | loaves->loaf | beeves->beef
ses_to_sis,59,crises->crisis | paralyses->paralysis | bases->basis | nemeses->nemesis | exegeses->exegesis | analyses->analysis | catachreses->catachresis | stases->stasis | metatheses->metathesis | antitheses->antithesis | atrienses->atriensis | caryopses->caryopsis
ker_to_c,42,mimicker->mimic | packer->pac | picker->pic | picnicker->picnic | rocker->roc | ticker->tic | trafficker->traff | smicker->smic | shellacker->shellac | chemicker->chem | havocker->havoc | physicker->phy
est_undouble,37,arrest->ar | attest->at | suggest->sug | mimmest->mim | unnest->un | rearrest->rear | innest->in | reattest->reat | biggest->big | dimmest->dim | wottest->wot | coattest->coat
king_to_c,28,bivouacking->bivouac | lacking->lac | packing->pac | picking->pic | sacking->sac | ticking->tic | swacking->swac | magicking->magic | vraicking->vraic | rocking->roc | arcking->arc | physicking->phy
eaux_to_eau,26,tableaux->tableau | plateaux->plateau | portmanteaux->portmanteau | trousseaux->trousseau | chateaux->chateau | flambeaux->flambeau | bureaux->bureau | chapeaux->chapeau | bateaux->bateau | nouveaux->nouveau | deveaux->deveau | morceaux->morceau
ices_to_ix,25,sequestratrices->sequestratrix | matrices->matrix | speculatrices->speculatrix | tortrices->tortrix | spadices->spadix | bisectrices->bisectrix | filices->filix | radices->radix | administratrices->administratrix | senatrices->senatrix | varices->varix | cicatrices->cicatrix
ked_to_c,23,packed->pac | panicked->panic | sacked->sac | calpacked->calpac | arcked->arc | tunicked->tunic | magicked->magic | picked->pic | physicked->phy | hydraulicked->hydraulic | baldricked->baldr | ticked->tic
ying_to_ie,21,dying->die | lying->lie | outlying->outlie | overlying->overlie | tying->tie | underlying->underlie | untying->untie | unlying->unlie | vying->vie | retying->retie | belying->belie | interlying->interlie
ied_to_ie,20,monied->monie | untied->untie | crosstied->crosstie | ramillied->ramillie | spavied->spavie | magpied->magpie | aeried->aerie | jalousied->jalousie | prairied->prairie | collied->collie | gussied->gussie | hogtied->hogtie
ices_to_ex,19,apices->apex | vertices->vertex | scolices->scolex | latices->latex | subindices->subindex | codices->codex | ibices->ibex | carnifices->carnifex | judices->judex | podices->podex | cortices->cortex | indices->index
ves_to_fe,17,fives->fife | knives->knife | wives->wife | lives->life | housewives->housewife | strives->strife | chaves->chafe | pocketknives->pocketknife | nives->nife | fishwives->fishwife | hotwives->hotwife | midwives->midwife
ally_to_ic,13,atonally->aton | monarchally->monarch | theopaschitally->theopaschitic | actinally->actin | semitonally->semitonic | mesally->mesic | fluidally->fluid | tonally->tonic | isogonally->isogon | monoclinally->monoclinic | synonymally->synonym | clonally->clon
